Indicator,Unit,Monetisation method,Indicator definition
Fenpropathrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenpropathrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenpyroximate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenpyroximate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenvalerate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenvalerate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fine particulate matter formation,kg pm2.5 eq,"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at human health damage (morbidity, i.e., sickness and disease, and premature mortality). The endpoint valuation of human health is based on valuation of a DALY (Disability Adjusted Life Year) as described above for Human Toxicity. Recipe 2016 midpoint to endpoint conversion factors for PM formation are utilised to derive the monetisation factors (Huijbregts et al., 2016). At midpoint level, the indicator has only global monetisation. Country-specific conversion factors can be derived for individual gases (NOx, SOx, NMVOC), with the method described in (Galgani, Woltjer, et al., 2023). (True Price 2023)","Fine Particulate Matter Formation [kg Pm2.5 Eq] Refers To The Quantification Of Air Pollution Caused By The Release Of Fine Particulate Matter (pm2.5), Which Are Particles Smaller Than 2.5 Micrometers In Diameter. These Particles Are Typically Formed Through Industrial Processes, Combustion Of Fossil Fuels, And Chemical Reactions In The Atmosphere. Pm2.5 Is A Major Concern For Both Environmental And Human Health As It Can Penetrate Deep Into The Lungs, Leading To Respiratory And Cardiovascular Diseases, And Can Also Cause Environmental Degradation, Like Smog Formation And Reduced Air Quality.                                                               "
Fipronil,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fipronil [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Florasulam,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Florasulam [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fluazifop-p-butyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fluazifop-p-butyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Flubendiamide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Flubendiamide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fluensulfone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fluensulfone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Flufenoxuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Flufenoxuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fluometuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fluometuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
